[1/1/2018 19:45:16] /i 1
[1/1/2018 19:46:14] /i cristal coin
[1/1/2018 19:46:22] /i crystal coin
[1/1/2018 19:52:19] /invisible
[1/1/2018 19:52:21] /invisible
[1/1/2018 19:52:22] /invisible
[1/1/2018 19:52:23] /invisible
[1/1/2018 19:52:25] /invisible
[1/1/2018 19:52:30] /ghost
[1/1/2018 19:52:31] /ghost
[1/1/2018 19:53:9] /mkick
[1/1/2018 19:53:11] /mkick 2
[1/1/2018 19:53:30] /b
[1/1/2018 19:53:32] /b 2
[1/1/2018 19:53:36] /kick
[1/1/2018 19:53:37] /kick 1
[1/1/2018 19:53:40] /b oi
[1/1/2018 19:53:53] /up
[1/1/2018 19:56:12] /light
[1/1/2018 19:56:45] /goto
[1/1/2018 19:56:48] /goto cyclips
[1/1/2018 19:56:53] /goto cyclops
[1/1/2018 19:57:4] /goto dwarf
[1/1/2018 19:57:6] /goto dwarf
[1/1/2018 19:57:12] /goto dwarf
[1/1/2018 19:57:16] /goto dwarf
[1/1/2018 19:57:20] /goto dwarf
[1/1/2018 19:57:26] /goto dwarf
[1/1/2018 19:57:30] /goto dwarf
[1/1/2018 19:57:31] /goto dwarf
[1/1/2018 19:57:41] /goto demon
[1/1/2018 19:58:44] /goto demon
[1/1/2018 19:58:48] /goto dragon
[1/1/2018 19:58:52] /goto hydra
[1/1/2018 19:59:11] /goto rook
[1/1/2018 19:59:15] /town rook
[1/1/2018 19:59:17] /town rookgaard
[1/1/2018 20:2:19] /raid
[1/1/2018 20:2:23] /raid munster
[1/1/2018 20:2:49] /raid orshabaal
[1/1/2018 20:3:50] /town rookgaard
[1/1/2018 20:5:51] /town rookgaard
[1/1/2018 20:6:4] /light
[1/1/2018 20:10:44] /town rookgaard
[1/1/2018 20:10:46] /light
[1/1/2018 20:10:47] /light
[1/1/2018 20:10:48] /light
[1/1/2018 20:10:50] /light
[1/1/2018 20:10:50] /light
[1/1/2018 20:10:51] /light
[1/1/2018 20:10:57] /light
[1/1/2018 20:11:0] /light
[1/1/2018 20:15:22] /town carlin
[1/1/2018 20:16:21] /goto orshabaal
[1/1/2018 20:21:29] /goto wyrm
[1/1/2018 20:21:34] /goto wyrven
[1/1/2018 20:21:37] /goto wyrvem
[1/1/2018 20:21:46] /town carlin
[1/1/2018 20:21:53] /goto amazon
[1/1/2018 20:24:17] /m
[1/1/2018 20:24:21] /m training monk[
[1/1/2018 20:24:23] /m training monk
[1/1/2018 20:25:56] /addskill
[1/1/2018 20:26:6] /addskill Arkos, magic
[1/1/2018 20:26:7] /addskill Arkos, magic
[1/1/2018 20:26:15] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:16] /addskill Arkos, magic
[1/1/2018 20:26:18] /addskill Arkos, magic
[1/1/2018 20:26:18] /addskill Arkos, magic
[1/1/2018 20:26:18] /addskill Arkos, magic
[1/1/2018 20:26:18] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:19] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
[1/1/2018 20:26:20] /addskill Arkos, magic
